Time [s], Analyzer Name, Decoded Protocol Result
0.153671300000000,Async Serial,0
0.154920680000000,Async Serial,\r
0.156170040000000,Async Serial,\n
0.157419400000000,Async Serial,2
0.158668760000000,Async Serial,8
0.159918120000000,Async Serial,\r
0.161167480000000,Async Serial,\n
0.162416840000000,Async Serial,4
0.163666200000000,Async Serial,1
0.164915560000000,Async Serial,\r
0.166164920000000,Async Serial,\n
0.167414280000000,Async Serial,3
0.168663640000000,Async Serial,2
0.169913000000000,Async Serial,\r
0.171162360000000,Async Serial,\n
0.172411720000000,Async Serial,3
0.173661080000000,Async Serial,5
0.174910440000000,Async Serial,\r
0.176159800000000,Async Serial,\n
0.177409160000000,Async Serial,2
0.178658520000000,Async Serial,4
0.179907880000000,Async Serial,\r
0.181157240000000,Async Serial,\n
0.182406600000000,Async Serial,3
0.183655960000000,Async Serial,9
0.184905320000000,Async Serial,\r
0.186154680000000,Async Serial,\n
0.187404040000000,Async Serial,4
0.188653400000000,Async Serial,2
0.189902760000000,Async Serial,\r
0.191152120000000,Async Serial,\n
0.192401480000000,Async Serial,3
0.193650840000000,Async Serial,6
0.194900200000000,Async Serial,\r
0.196149560000000,Async Serial,\n
0.197398920000000,Async Serial,4
0.198648280000000,Async Serial,5
0.199897640000000,Async Serial,\r
0.201147000000000,Async Serial,\n
0.202396360000000,Async Serial,0
0.203645720000000,Async Serial,3
0.204895080000000,Async Serial,\r
0.206144440000000,Async Serial,\n
0.207393800000000,Async Serial,4
0.208643160000000,Async Serial,3
0.209892520000000,Async Serial,\r
0.211141880000000,Async Serial,\n
0.212391240000000,Async Serial,2
0.213640600000000,Async Serial,0
0.214889960000000,Async Serial,\r
0.216139320000000,Async Serial,\n
0.217388680000000,Async Serial,0
0.218638040000000,Async Serial,0
0.219887400000000,Async Serial,\r
0.221136760000000,Async Serial,\n
0.222386120000000,Async Serial,0
0.223635480000000,Async Serial,1
0.224884840000000,Async Serial,\r
0.226134200000000,Async Serial,\n
0.227383580000000,Async Serial,0
0.228632940000000,Async Serial,9
0.229882300000000,Async Serial,\r
0.231131660000000,Async Serial,\n
0.232381020000000,Async Serial,4
0.233630380000000,Async Serial,4
0.234879740000000,Async Serial,\r
0.236129100000000,Async Serial,\n
0.237378460000000,Async Serial,3
0.238627820000000,Async Serial,8
0.239877180000000,Async Serial,\r
0.241126540000000,Async Serial,\n
0.242375900000000,Async Serial,0
0.243625280000000,Async Serial,7
0.244874640000000,Async Serial,\r
0.246124000000000,Async Serial,\n
0.247373360000000,Async Serial,2
0.248622720000000,Async Serial,2
0.249872080000000,Async Serial,\r
0.251121440000000,Async Serial,\n
0.252370800000000,Async Serial,0
0.253620160000000,Async Serial,8
0.254869520000000,Async Serial,\r
0.256118880000000,Async Serial,\n
0.257368240000000,Async Serial,1
0.258617620000000,Async Serial,3
0.259866980000000,Async Serial,\r
0.261116340000000,Async Serial,\n
0.262365700000000,Async Serial,2
0.263615060000000,Async Serial,3
0.264864420000000,Async Serial,\r
0.266113780000000,Async Serial,\n
0.267363140000000,Async Serial,3
0.268612500000000,Async Serial,7
0.269861860000000,Async Serial,\r
0.271111220000000,Async Serial,\n
0.272360580000000,Async Serial,1
0.273609960000000,Async Serial,0
0.274859320000000,Async Serial,\r
0.276108680000000,Async Serial,\n
0.277358040000000,Async Serial,4
0.278607400000000,Async Serial,7
0.279856760000000,Async Serial,\r
0.281106120000000,Async Serial,\n
0.282355480000000,Async Serial,0
0.283604840000000,Async Serial,5
0.284854200000000,Async Serial,\r
0.286103560000000,Async Serial,\n
0.287352920000000,Async Serial,3
0.288602280000000,Async Serial,3
0.289851640000000,Async Serial,\r
0.291101020000000,Async Serial,\n
0.292350380000000,Async Serial,2
0.293599740000000,Async Serial,6
0.294849100000000,Async Serial,\r
0.296098460000000,Async Serial,\n
0.297347820000000,Async Serial,4
0.298597180000000,Async Serial,6
0.299846540000000,Async Serial,\r
0.301095900000000,Async Serial,\n
0.302345260000000,Async Serial,2
0.303594620000000,Async Serial,5
0.304843980000000,Async Serial,\r
0.306093340000000,Async Serial,\n
